Player,Pos,Age,Tm,G,MP,PER
Dennis Schroder,PG,24,ATL,67,2078,17.3
Mike Scott,PF,29,WAS,76,1406,13.7
Thabo Sefolosha,SF,33,UTA,38,806,15.8
Wayne Selden,SG,23,MEM,35,692,11.8
Ramon Sessions,PG,31,TOT,28,392,11.2
Ramon Sessions,PG,31,NYK,13,167,6.2
Ramon Sessions,PG,31,WAS,15,225,14.9
Iman Shumpert,SG,27,CLE,14,276,6.4
Pascal Siakam,PF,23,TOR,81,1679,14.5
Xavier Silas,SG,30,BOS,2,7,-4.9
Ben Simmons,PG,21,PHI,81,2732,20
Jonathon Simmons,SG,28,ORL,69,2029,12.7
Kobi Simmons,PG,20,MEM,32,643,7.7
Kyle Singler,SF,29,OKC,12,59,5.9
Marcus Smart,SG,23,BOS,54,1614,10.8
Dennis Smith,PG,20,DAL,69,2049,12.8
Ish Smith,PG,29,DET,82,2043,15.4
J.R. Smith,SG,32,CLE,80,2244,8.5
Jason Smith,C,31,WAS,33,285,8.8
Josh Smith,PF,32,NOP,3,12,3.5
Tony Snell,SG,26,MIL,75,2053,8.5
Marreese Speights,C,30,ORL,52,675,13.7
Nik Stauskas,SG,24,TOT,41,523,9
Nik Stauskas,SG,24,PHI,6,45,0.9
Nik Stauskas,SG,24,BRK,35,478,9.8
Lance Stephenson,SG,27,IND,82,1850,12.4
David Stockton,PG,26,UTA,3,9,33.9
Julyan Stone,SG,29,CHO,23,175,7.6
Edmond Sumner,PG,22,IND,1,2,39.8
Caleb Swanigan,PF,20,POR,27,189,7.5
Jayson Tatum,SF,19,BOS,80,2438,15.3
Isaiah Taylor,PG,23,ATL,67,1167,10.9
Jeff Teague,PG,29,MIN,70,2311,16.4
Marquis Teague,PG,24,MEM,3,74,5.7
Mirza Teletovic,PF,32,MIL,10,159,13.5
Garrett Temple,SG,31,SAC,65,1615,10.2
Milos Teodosic,PG,30,LAC,45,1134,11.6
Jason Terry,SG,40,MIL,51,814,8.1
Daniel Theis,C,25,BOS,63,936,16.1
Isaiah Thomas,PG,28,TOT,32,862,12.6
Isaiah Thomas,PG,28,CLE,15,406,12.3
Isaiah Thomas,PG,28,LAL,17,456,12.8
Lance Thomas,PF,29,NYK,73,1353,6.3
Klay Thompson,SG,27,GSW,73,2506,16.1
Tristan Thompson,C,26,CLE,53,1072,13.6
Sindarius Thornwell,SG,23,LAC,73,1156,8.2
Anthony Tolliver,PF,32,DET,79,1757,13.9
Karl-Anthony Towns,C,22,MIN,82,2918,24.9
P.J. Tucker,PF,32,HOU,82,2281,8.3
Evan Turner,SF,29,POR,79,2034,9.9
Myles Turner,C,21,IND,65,1836,16.6
Ekpe Udoh,C,30,UTA,63,810,15.2
Tyler Ulis,PG,22,PHO,71,1658,10.1
Jonas Valanciunas,C,25,TOR,77,1727,22.5
Denzel Valentine,SG,24,CHI,77,2095,12.1
Fred VanVleet,PG,23,TOR,76,1520,15.9
Rashad Vaughn,SG,21,TOT,28,212,9.3
Rashad Vaughn,SG,21,MIL,22,173,11.1
Rashad Vaughn,SG,21,BRK,1,4,4.1
Rashad Vaughn,SG,21,ORL,5,35,1.1
Noah Vonleh,PF,22,TOT,54,875,12.8
Noah Vonleh,PF,22,POR,33,476,12
Noah Vonleh,PF,22,CHI,21,399,13.9
Nikola Vucevic,C,27,ORL,57,1683,19.7
Dwyane Wade,SG,36,TOT,67,1536,15
Dwyane Wade,SG,36,CLE,46,1069,15.9
Dwyane Wade,SG,36,MIA,21,467,13.1
Dion Waiters,SG,26,MIA,30,918,10.5
Kemba Walker,PG,27,CHO,80,2736,20.6
John Wall,PG,27,WAS,41,1410,19.1
Tyrone Wallace,PG,23,LAC,30,851,10.1
Taurean Waller-Prince,SF,23,ATL,82,2464,12.8
Derrick Walton,PG,22,MIA,16,147,11.2
Jameel Warney,PF,24,DAL,3,27,22.6
T.J. Warren,SF,24,PHO,65,2142,17.6
Travis Wear,SF,27,LAL,17,228,6.9
James Webb,SF,24,BRK,10,120,2.2
Briante Weber,PG,25,TOT,18,237,10.1
Briante Weber,PG,25,HOU,13,118,11.1
Briante Weber,PG,25,MEM,5,119,9.2
David West,C,37,GSW,73,999,20.9
Russell Westbrook,PG,29,OKC,80,2914,24.7
Andrew White,SF,24,ATL,15,209,5.8
Derrick White,PG,23,SAS,17,139,15.9
Okaro White,PF,25,MIA,6,80,8.9
Isaiah Whitehead,PG,22,BRK,16,180,11.5
Hassan Whiteside,C,28,MIA,54,1364,24.1
Andrew Wiggins,SF,22,MIN,82,2979,13
Jacob Wiley,PF,23,BRK,5,33,8.2
Damien Wilkins,SF,38,IND,19,152,4.9
Alan Williams,PF,25,PHO,5,70,9.3
C.J. Williams,SG,27,LAC,38,707,9.5
Derrick Williams,PF,26,LAL,2,9,-3.2
Lou Williams,SG,31,LAC,79,2589,20.2
Marvin Williams,PF,31,CHO,78,2006,13.9
Matt Williams,SG,24,MIA,3,11,-0.7
Troy Williams,SF,23,TOT,21,307,15.1
Troy Williams,SF,23,HOU,4,17,-2.4
Troy Williams,SF,23,NYK,17,290,16.2
D.J. Wilson,PF,21,MIL,22,71,10.3
Jamil Wilson,SF,27,LAC,15,274,11.4
Justise Winslow,PF,21,MIA,68,1680,11.5
Jeff Withey,C,27,DAL,9,39,8.3
Nate Wolters,PG,26,UTA,5,19,-2.9
Brandan Wright,PF,30,TOT,28,381,19
Brandan Wright,PF,30,MEM,27,366,19.3
Brandan Wright,PF,30,HOU,1,15,11.3
Delon Wright,PG,25,TOR,69,1433,16.5
Guerschon Yabusele,PF,22,BOS,33,235,12.3
James Young,SG,22,PHI,6,61,4.6
Joe Young,PG,25,IND,53,558,10.1
Nick Young,SG,32,GSW,80,1393,10
Thaddeus Young,PF,29,IND,81,2607,14.8
Cody Zeller,C,25,CHO,33,627,15.9
Tyler Zeller,C,28,TOT,66,1109,16
Tyler Zeller,C,28,BRK,42,703,15.3
Tyler Zeller,C,28,MIL,24,406,17.1
Paul Zipser,SF,23,CHI,54,824,5.2
Ante Zizic,C,21,CLE,32,214,24.2
Ivica Zubac,C,20,LAL,43,410,15.3

